dialogue,utterance,all_events
"Carson learn a lot in school , as well as take self - pace course online , read book , and practice real - world skill .","Carson>>learn>>a>>lot>>in>>school>>,>>as>>well>>as>>take>>self>>->>pace>>course>>online>>,>>read>>book>>,>>and>>practice>>real>>->>world>>skill>>.",Alex reads  online||Alex practices a lot||Alex reads the books||Alex is self conscious||Alex is reading a book||Alex reads the book||Alex keeps it real||Alex reads a book||Alex takes Jesse's course||Alex takes  in the course||Alex takes a course||Alex defines  as real||Alex learns a new skill||Alex takes place in the course||Alex reads books||Alex reads online||Alex teaches  skills
Quinn color her hair a light ghost grey color .,Quinn>>color>>her>>hair>>a>>light>>ghost>>grey>>color>>.,Alex likes the color||Alex changes Jesse's hair color||Alex changes Alex's hair color||Alex colors Jesse's hair||Alex colors Alex's hair
"want to get away from friend and family , Sasha spend a weekend in the mountain .","want>>to>>get>>away>>from>>friend>>and>>family>>,>>Sasha>>spend>>a>>weekend>>in>>the>>mountain>>.",Alex spends  away from home||Alex gets  from a friend||Alex moves away from Alex's friends||Alex spends a weekend||Alex wants a family||Alex wants to be friends||Alex gets away from Jesse||Alex visits  this weekend||Alex spends the weekend
Alex take Jesse 's complaint seriously and issue the complaint to the police for a serious investigation .,Alex>>take>>Jesse>>'s>>complaint>>seriously>>and>>issue>>the>>complaint>>to>>the>>police>>for>>a>>serious>>investigation>>.,Alex takes seriously the ||Alex takes the  seriously||Alex ignores Jesse's complaints||Alex files a complaint||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
Alex make friend easily and have a big social circle very quickly .,Alex>>make>>friend>>easily>>and>>have>>a>>big>>social>>circle>>very>>quickly>>.,Alex gets  easily||Alex has a big dog||Alex fixes  easily||Alex quickly made ||Alex loses easily||Alex makes  quickly||Alex has a big garden||Alex has a big party||Alex wins  easily||Alex eats  very quickly||Alex speaks in circles||Alex makes it big||Alex wins easily
Tracy go camping during the weekend for the first time in their life .,Tracy>>go>>camping>>during>>the>>weekend>>for>>the>>first>>time>>in>>their>>life>>.,Alex goes  for the first time||Alex goes to the dentist for the first time||Alex goes camping||Alex goes camping during the weekend||Alex is going camping
"when Remy 's tire go flat on his way to work , he say a bad word .","when>>Remy>>'s>>tire>>go>>flat>>on>>his>>way>>to>>work>>,>>he>>say>>a>>bad>>word>>.",Alex says a word||Alex says hi||Alex fixes Jesse's flat tire||Alex says another word||Alex says when||Alex says a word to Jesse||Alex gets a flat tire||Alex changes a flat tire||Alex goes flat||Alex fixes Alex's flat tire||Alex goes the way of ||Alex has a flat tire
Alex give his friend a high five after he get a strike in bowling .,Alex>>give>>his>>friend>>a>>high>>five>>after>>he>>get>>a>>strike>>in>>bowling>>.,Alex gives Jesse a high five||Alex plays  with his friends||Alex gives  a high five||Alex gets high||Alex gets a strike||Alex gets  after school
Alex agree to help Jesse since she need to move into her new apartment immediately but do not have any help .,Alex>>agree>>to>>help>>Jesse>>since>>she>>need>>to>>move>>into>>her>>new>>apartment>>immediately>>but>>do>>not>>have>>any>>help>>.,Alex does n't have a lot of money||Alex agrees to help Jesse||Alex has any money though||Alex has just moved into a new apartment||Alex does n't help much||Alex needs  to help||Alex does n't have many friends||Alex needs to move||Alex finds a new apartment||Alex has any extra money||Alex moves to a new apartment||Alex moves into a new apartment||Alex does n't catch any fish||Alex has just moved into a new apartment||Alex is moving to a new apartment||Alex does n't have enough money||Alex does n't help much||Alex needs help||Alex helps  in need
Carson shake Alex 's head again to wake her up after the accident .,Carson>>shake>>Alex>>'s>>head>>again>>to>>wake>>her>>up>>after>>the>>accident>>.,Alex shakes Jesse's head||Alex wakes  up early||Alex wakes up and smell the coffee||Alex wakes up  morning||Alex shakes Jesse's head again||Alex shakes Jesse's head ||Alex wakes Jesse up early||Alex tries to wake Jesse up
Alex 's boyfriend get on one knee to propose . Alex hold their breath .,Alex>>'s>>boyfriend>>get>>on>>one>>knee>>to>>propose>>.>>Alex>>hold>>their>>breath>>.,Alex wants to propose||Alex proposes another ||Alex holds Jesse breath||Alex drops to one knee||Alex holds Jesse's breath||Alex holds Alex's breath||Alex proposes marriage||Alex gets down on one knee
Alex fulfil Alex 's request .,Alex>>fulfil>>Alex>>'s>>request>>.,Alex requests a refund
Alex move Jesse 's body because they do not want anyone to see .,Alex>>move>>Jesse>>'s>>body>>because>>they>>do>>not>>want>>anyone>>to>>see>>.,Alex does n't want to see Jesse again||Alex wants to see||Alex does n't want to fight||Alex wants anyone to know||Alex does n't know anyone||Alex does n't want anyone to know||Alex wants anyone||Alex does n't want anyone to know
Alex blow smoke from his lip as he sit on the bench and puff on his pipe .,Alex>>blow>>smoke>>from>>his>>lip>>as>>he>>sit>>on>>the>>bench>>and>>puff>>on>>his>>pipe>>.,Alex says hi||Alex smokes Alex's pipe||Alex says hi to Jesse||Alex watches  from the bench||Alex fixes the pipe||Alex stops Jesse in his tracks||Alex blows smoke||Alex plays  with his friends
Addison take long walk on the beach to lose weight .,Addison>>take>>long>>walk>>on>>the>>beach>>to>>lose>>weight>>.,Alex loses the weight||Alex takes long walks||Alex begins to lose weight||Alex is trying to lose weight||Alex loses weight||Alex is losing weight||Alex takes a long walk
Jesse be wonder if they get into a school . they check the mail every day .,Jesse>>be>>wonder>>if>>they>>get>>into>>a>>school>>.>>they>>check>>the>>mail>>every>>day>>.,Alex checks the mail||Alex checks every ||Alex checks Alex's mail
Alex get to the restaurant and decide to order some pizza there .,Alex>>get>>to>>the>>restaurant>>and>>decide>>to>>order>>some>>pizza>>there>>.,Alex decides to order pizza instead||Alex decides to order a pizza||Alex orders some pizza||Alex gets some pizza||Alex decides to order pizza
Alex wrap their jacket around their waist to free their hand to help move box .,Alex>>wrap>>their>>jacket>>around>>their>>waist>>to>>free>>their>>hand>>to>>help>>move>>box>>.,Alex wraps  around my waist||Alex helps Jesse's move||Alex wraps  around Jesse's waist||Alex wraps around Jesse's waist||Alex helps Jesse move||Alex wraps Jesse's arms around Jesse's waist||Alex wraps  around waist
Jan go to a party and start talk to one of her friend that she care about a lot .,Jan>>go>>to>>a>>party>>and>>start>>talk>>to>>one>>of>>her>>friend>>that>>she>>care>>about>>a>>lot>>.,Alex talks to a friend||Alex talks to Jesse about anything||Alex starts to talk||Alex is going to a party||Alex starts talking||Alex wants to go to a party||Alex cares a lot||Alex talks about politics||Alex talks a lot
Alex love Sydney 's neighbor that they ask their parent to move near them .,Alex>>love>>Sydney>>'s>>neighbor>>that>>they>>ask>>their>>parent>>to>>move>>near>>them>>.,Alex moves back in with Alex's parents||Alex asks Alex's neighbors||Alex asks my parents||Alex asks Jesse's neighbor||Alex asks Jesse's neighbors||Alex asks Alex's neighbor||Alex moves back in with my parents||Alex asks the neighbors||Alex lets them have it||Alex asks Jesse's parents
Alex take a long time to get in the car with her broken leg .,Alex>>take>>a>>long>>time>>to>>get>>in>>the>>car>>with>>her>>broken>>leg>>.,Alex gets a leg up||Alex takes Jesse a long time||Alex takes a long time||Alex has a broken leg||Alex is taking a long time||Alex takes a very long time
Alex take year to complete college but finally get his degree .,Alex>>take>>year>>to>>complete>>college>>but>>finally>>get>>his>>degree>>.,Alex gets a degree||Alex completes Alex's year||Alex takes years to complete||Alex finally gets ||Alex takes  in college||Alex takes  in the year||Alex takes  to complete||Alex takes Jesse degree||Alex finally gets||Alex finally get ||Alex gets Alex's degree
Cameron drive nearly three hour so that he could pick Alex up from the near airport .,Cameron>>drive>>nearly>>three>>hour>>so>>that>>he>>could>>pick>>Alex>>up>>from>>the>>near>>airport>>.,Alex picks  up from school||Alex takes three hours||Alex picks Jesse up at the airport||Alex picks Jesse up from the airport||Alex picks Jesse up from school||Alex picks  up from work||Alex drives to the airport
Alex do not consider that his word may have the feeling of other .,Alex>>do>>not>>consider>>that>>his>>word>>may>>have>>the>>feeling>>of>>other>>.,Alex has a word||Alex has words
Ash always perform well at his workplace after a warm cup of coffee .,Ash>>always>>perform>>well>>at>>his>>workplace>>after>>a>>warm>>cup>>of>>coffee>>.,Alex makes a cup of coffee||Alex performs the  well||Alex performs  well||Alex gets a cup of coffee||Alex drinks a cup of coffee
Alex go fish to the lake with Jesse and some friend that night .,Alex>>go>>fish>>to>>the>>lake>>with>>Jesse>>and>>some>>friend>>that>>night>>.,Alex goes fishing with Alex's friends||Alex goes  in the lake||Alex goes  with some friends||Alex goes  at the lake||Alex goes swimming in the lake
Sasha be the most popular girl in school when she accept Alex 's invitation to go on a date .,Sasha>>be>>the>>most>>popular>>girl>>in>>school>>when>>she>>accept>>Alex>>'s>>invitation>>to>>go>>on>>a>>date>>.,Alex accepts Jesse's invitation||Alex goes on a date with Jesse||Alex is dating a girl||Alex decides to go on a date||Alex accepts the invitation||Alex is going on a date||Alex accepts Jesse invitation||Alex dates a girl
Alex want to do something fun for the weekend . Alex go camping with friend .,Alex>>want>>to>>do>>something>>fun>>for>>the>>weekend>>.>>Alex>>go>>camping>>with>>friend>>.,Alex goes camping with Jesse's friends||Alex does something else||Alex wants something||Alex goes camping with friends||Alex camps with friends||Alex wants to do something||Alex wants to do something new||Alex is going camping||Alex does something fun||Alex does something different||Alex goes camping with Alex's friends||Alex wants to do something||Alex wants to do something special||Alex does something exciting
Alex tell Jesse it be risky . Jesse look at Alex in deep thought .,Alex>>tell>>Jesse>>it>>be>>risky>>.>>Jesse>>look>>at>>Alex>>in>>deep>>thought>>.,
Bailey pass Alex an examination booklet after she decide not to study that subject anymore .,Bailey>>pass>>Alex>>an>>examination>>booklet>>after>>she>>decide>>not>>to>>study>>that>>subject>>anymore>>.,Alex writes a  on the subject||Alex throws  on this subject||Alex writes  on the subject||Alex pays  to the subject||Alex passes Jesse examination||Alex decides to not be friends with Jesse anymore||Alex throws  on the subject||Alex decides to not be friends with Jesse anymore
Alex play a part in the revolution while it be still in the planning phase .,Alex>>play>>a>>part>>in>>the>>revolution>>while>>it>>be>>still>>in>>the>>planning>>phase>>.,Alex plays a part in the development||Alex plays a part in the history||Alex plays a  in the revolution||Alex plays a part||Alex plays Jesse part
Skylar be outdoors in the wintertime and pull the wool over their eye and face .,Skylar>>be>>outdoors>>in>>the>>wintertime>>and>>pull>>the>>wool>>over>>their>>eye>>and>>face>>.,Alex pulls the  over Alex's eyes||Alex is pulled over by a cop||Alex pulls a face||Alex pulls the wool over Jesse's eyes||Alex pulls faces
Skylar join Sasha 's rank as one of the only employee to never miss a day of work in 5 year .,Skylar>>join>>Sasha>>'s>>rank>>as>>one>>of>>the>>only>>employee>>to>>never>>miss>>a>>day>>of>>work>>in>>5>>year>>.,Alex is 5 years old||Alex never missed ||Alex never missed||Alex is at work one day||Alex joins Jesse's ranks||Alex works one day||Alex works hard for years||Alex misses  at work||Alex works for days||Alex misses work
Alex leave a mess upon Ash 's bedroom after they be do playing .,Alex>>leave>>a>>mess>>upon>>Ash>>'s>>bedroom>>after>>they>>be>>do>>playing>>.,Alex plays  after school||Alex rises from the ashes||Alex plays football after school||Alex plays after school||Alex does not want to leave
Skylar distribute the datum in several form without double check the figure .,Skylar>>distribute>>the>>datum>>in>>several>>form>>without>>double>>check>>the>>figure>>.,Alex doubles check||Alex distributes in forms without permission||Alex distributes in forms without figure||Alex distributes the  evenly||Alex distributes in forms without figure||Alex cuts a figure
Alex sound good today consider they have be sick last week .,Alex>>sound>>good>>today>>consider>>they>>have>>be>>sick>>last>>week>>.,Alex starts last week||Alex has  last week||Alex is sick for a week||Alex sounds good to Jesse||Alex sounds good||Alex buys  last week||Alex starts  last week||Alex makes  last week||Alex sounds really good
"Sasha be take a train back to school , so Jan take Sasha to the station .","Sasha>>be>>take>>a>>train>>back>>to>>school>>,>>so>>Jan>>take>>Sasha>>to>>the>>station>>.",Alex takes a train||Alex takes  at school||Alex takes a train to the capital city of||Alex takes Jesse to the station||Alex takes a train ride||Alex takes the train||Alex takes a train||Alex takes a train ride||Alex takes Jesse to the station||Alex takes the train
Alex open a savings account after she win 1 million dollar from the lottery .,Alex>>open>>a>>savings>>account>>after>>she>>win>>1>>million>>dollar>>from>>the>>lottery>>.,Alex wins the lottery||Alex opens a savings account||Alex wins a hundred dollars||Alex wins a thousand dollars||Alex wins ten dollars||Alex wins a million dollars
Alex notice that the pant do not fit well so Alex wrap a belt around the waist .,Alex>>notice>>that>>the>>pant>>do>>not>>fit>>well>>so>>Alex>>wrap>>a>>belt>>around>>the>>waist>>.,Alex wraps  around my waist||Alex wraps  around Jesse's waist||Alex fits  well||Alex wraps around Jesse's waist||Alex fits the  well||Alex does well by doing good||Alex does n't fit anymore||Alex fits Jesse well||Alex wraps Jesse's arms around Jesse's waist||Alex wraps  around waist
Alex want to help out at work so they bring Jesse 's tool to them .,Alex>>want>>to>>help>>out>>at>>work>>so>>they>>bring>>Jesse>>'s>>tool>>to>>them>>.,Alex wants to help Jesse||Alex uses  as a tool||Alex wants Jesse help||Alex works so much||Alex wants  so badly||Alex brings  to work||Alex grabs Alex's tools||Alex wants to help||Alex grabs Jesse's tools||Alex works so hard||Alex wants to work||Alex lets them have it
Alex want to buy Jesse a birthday gift so they go to the pet store .,Alex>>want>>to>>buy>>Jesse>>a>>birthday>>gift>>so>>they>>go>>to>>the>>pet>>store>>.,Alex drives to the pet store||Alex visits the pet store||Alex buys Jesse a gift||Alex visits the pet store||Alex takes  to the pet store||Alex buys  at the pet store||Alex takes  to the pet store||Alex buys  from the pet store||Alex buys a gift||Alex goes to the pet store||Alex buys gifts||Alex buys  a gift||Alex buys a birthday cake||Alex buys  at the pet store
"Alex know they be right , and Jesse prove Alex 's point .","Alex>>know>>they>>be>>right>>,>>and>>Jesse>>prove>>Alex>>'s>>point>>.",Alex proves Jesse point||Alex proves Jesse's point||Alex knows right away||Alex knows Jesse was right
Alex be go to go to the zoo and ask if my kid could go . Alex take my child and i have an afternoon alone .,Alex>>be>>go>>to>>go>>to>>the>>zoo>>and>>ask>>if>>my>>kid>>could>>go>>.>>Alex>>take>>my>>child>>and>>i>>have>>an>>afternoon>>alone>>.,Alex goes hard or go home||Alex wants to go to the zoo||Alex takes my children||Alex sees could go||Alex goes to the zoo with Alex's family||Alex goes to the zoo with Jesse's family||Alex loves going to the zoo||Alex asks if could come||Alex takes  of children||Alex wishes could go||Alex goes to the zoo with Jesse's family||Alex wishes could go||Alex goes  with my dad||Alex wants to have a child||Alex loves going to the zoo||Alex wants to go to the zoo||Alex spends the afternoon||Alex asks Alex's kids||Alex goes to the zoo with Alex's family||Alex sees could go||Alex asks if Jesse could help||Alex takes  of the children||Alex loves going to the zoo||Alex wants to go to the zoo
Alex into his cult and fill his mind with idea .,Alex>>into>>his>>cult>>and>>fill>>his>>mind>>with>>idea>>.,Alex says hi||Alex says hi to Jesse||Alex fills Alex's mind||Alex fills Jesse's mind||Alex gives Jesse his head||Alex stops Jesse in his tracks||Alex plays  with his friends
Tracy cross the rubicon with her pack and equipment .,Tracy>>cross>>the>>rubicon>>with>>her>>pack>>and>>equipment>>.,Alex crosses the rubicon
Jan take the kid to NYC to see a show of one of their favorite artist .,Jan>>take>>the>>kid>>to>>NYC>>to>>see>>a>>show>>of>>one>>of>>their>>favorite>>artist>>.,Alex sees a show||Alex watches Jesse's favorite show||Alex takes the kids||Alex takes  to nyc||Alex watches Alex's favorite shows||Alex watches my favorite show||Alex sees the show
Alex tool and steal them to get back at carson .,Alex>>tool>>and>>steal>>them>>to>>get>>back>>at>>carson>>.,Alex uses  as a tool||Alex grabs Jesse's tools||Alex gets stolen||Alex grabs Alex's tools||Alex lets them have it
Alex to join Jesse at the county fair this weekend .,Alex>>to>>join>>Jesse>>at>>the>>county>>fair>>this>>weekend>>.,Alex is at the county fair||Alex spends the weekend||Alex enters the science fair||Alex invites Jesse to join||Alex invites Jesse to join Bob||Alex spends a weekend||Alex visits  this weekend
"Sasha get very tired , so she take a nap .","Sasha>>get>>very>>tired>>,>>so>>she>>take>>a>>nap>>.",Alex gets very tired||Alex gets tired||Alex takes a nap instead||Alex takes a nap on the couch||Alex takes a nap||Alex gets tired of it||Alex takes a long nap||Alex takes naps||Alex is getting tired||Alex feels very tired
"after plan and hope for many year , Tracy give birth to Addison .","after>>plan>>and>>hope>>for>>many>>year>>,>>Tracy>>give>>birth>>to>>Addison>>.",Alex gives birth||Alex gives birth to a daughter||Alex hopes against hope||Alex gives Jesse birth||Alex gives birth to Jesse||Alex gives birth to a Jesse||Alex spends many years
Alex have fun one night watce movie with their friend .,Alex>>have>>fun>>one>>night>>watce>>movie>>with>>their>>friend>>.,Alex has fun with Jesse's friends||Alex has  one night||Alex is having a lot of fun||Alex has a fun night||Alex has fun with Alex's friends
Remy start to dance because he have be drink .,Remy>>start>>to>>dance>>because>>he>>have>>be>>drink>>.,Alex starts to dance||Alex has a drinking problem||Alex starts drinking||Alex starts dancing||Alex starts drinking it
Alex scream in pain as the person across from them smash their fist into Alex .,Alex>>scream>>in>>pain>>as>>the>>person>>across>>from>>them>>smash>>their>>fist>>into>>Alex>>.,Alex lets them have it||Alex sits across from Jesse||Alex screams in pain||Alex sits down across from Jesse
Alex be wait on the birth of his child . Quinn have ask about the baby and Alex be go to keep Quinn post .,Alex>>be>>wait>>on>>the>>birth>>of>>his>>child>>.>>Quinn>>have>>ask>>about>>the>>baby>>and>>Alex>>be>>go>>to>>keep>>Quinn>>post>>.,Alex has a baby girl||Alex keeps the baby||Alex has a baby boy||Alex is going to have a baby||Alex keeps Jesse posted||Alex gives birth to children||Alex has a baby shower||Alex wants to have a baby||Alex keeps going||Alex is going to have a baby||Alex wants to have a baby||Alex goes to the post office
"when Alex notice Jesse , he stare at him with suspicious eye .","when>>Alex>>notice>>Jesse>>,>>he>>stare>>at>>him>>with>>suspicious>>eye>>.",Alex stares at Jesse with eyes||Alex stares at Jesse with eyes||Alex keeps staring at Jesse||Alex stares into Jesse's eyes||Alex stares into Jesse's eyes||Alex stares Jesse in the face||Alex becomes suspicious
Alex be go for a walk and bring the kid .,Alex>>be>>go>>for>>a>>walk>>and>>bring>>the>>kid>>.,Alex brings Jesse's kids||Alex brings the kids with Jesse||Alex brings the kids||Alex brings Alex's kids||Alex is going for a walk
Alex be a nice and caring person so she wrap a scarf around my neck .,Alex>>be>>a>>nice>>and>>caring>>person>>so>>she>>wrap>>a>>scarf>>around>>my>>neck>>.,Alex wraps  around my neck||Alex wraps  around Jesse's neck||Alex wraps around Jesse's neck||Alex wraps  around my waist||Alex wraps my arms around Jesse's neck
Alex go out to the club with some friend excite for the weekend .,Alex>>go>>out>>to>>the>>club>>with>>some>>friend>>excite>>for>>the>>weekend>>.,Alex is going out with friends||Alex is excited to go||Alex goes  with some friends||Alex goes  last weekend||Alex goes every weekend
Alex give Jesse 's friend a ride to the store when Jesse be unable to help .,Alex>>give>>Jesse>>'s>>friend>>a>>ride>>to>>the>>store>>when>>Jesse>>be>>unable>>to>>help>>.,Alex gives away the store||Alex helps Alex's friend||Alex helps Jesse's friend||Alex is unable to walk||Alex gives  a ride
Alex find their friend at the food court at the mall .,Alex>>find>>their>>friend>>at>>the>>food>>court>>at>>the>>mall>>.,Alex refers the  to the court||Alex finds  at the mall||Alex is at the mall with Jesse's friends||Alex finds food||Alex is at the mall with Alex's friends
Kai study all day and finish her homework first .,Kai>>study>>all>>day>>and>>finish>>her>>homework>>first>>.,Alex studies all night||Alex finishes  first||Alex is studying all week||Alex finishes Jesse's homework||Alex studies all day||Alex finishes Alex's studies||Alex studies all week||Alex studies day and night
Quinn have get in a fight with their friend and then Quinn rub salt in the wound .,Quinn>>have>>get>>in>>a>>fight>>with>>their>>friend>>and>>then>>Quinn>>rub>>salt>>in>>the>>wound>>.,Alex has a snowball fight||Alex adds salt||Alex rubs salt in Jesse's wounds||Alex rubs salt in the wound||Alex puts salt||Alex has a huge fight
Alex look it up online when she could not find the information in a book .,Alex>>look>>it>>up>>online>>when>>she>>could>>not>>find>>the>>information>>in>>a>>book>>.,Alex looks  up online||Alex looks  up online||Alex offers  on this book when ordered||Alex finds the book||Alex looks it up online||Alex looks up  online||Alex looks it up online||Alex looks up  online||Alex finds a book||Alex finds a new book||Alex thinks could find||Alex finds  online||Alex sees could find||Alex finds a book to read||Alex finds  online
Casey call Alex 's parent and want to find out information on Alex 's birthday .,Casey>>call>>Alex>>'s>>parent>>and>>want>>to>>find>>out>>information>>on>>Alex>>'s>>birthday>>.,Alex wants Alex's parents||Alex calls my parents||Alex calls Jesse 's parents||Alex wants  for Jesse's birthday||Alex calls Jesse's parents||Alex calls Jesse's parents||Alex wants Jesse's parents||Alex wants  for Jesse's birthday||Alex calls Jesse 's parents||Alex wants a puppy for Alex's birthday
"Alex feel bad after eat a rotten apple , but do not care .","Alex>>feel>>bad>>after>>eat>>a>>rotten>>apple>>,>>but>>do>>not>>care>>.",Alex spoils somebody rotten||Alex eats Jesse apple||Alex loves to eat apples||Alex does n't really care||Alex feels bad||Alex does n't feel well||Alex does n't even care||Alex eats an apple||Alex eats apples
"as it be part of his duty , Alex Jesse into the execution .","as>>it>>be>>part>>of>>his>>duty>>,>>Alex>>Jesse>>into>>the>>execution>>.",Alex carries Alex's  into execution||Alex carries Jesse's  into execution||Alex carries this  into execution||Alex carries Jesse into execution||Alex carries Jesse into execution||Alex carries the  into execution
Alex 's son be not allow on the Other 's football team because of his poor eyesight . Alex take his son to the eye doctor .,Alex>>'s>>son>>be>>not>>allow>>on>>the>>Other>>'s>>football>>team>>because>>of>>his>>poor>>eyesight>>.>>Alex>>take>>his>>son>>to>>the>>eye>>doctor>>.,Alex takes  to a doctor||Alex takes  to the doctor||Alex makes the football team||Alex sees the eye doctor||Alex bats for the other team||Alex preaches  to the poor||Alex takes  to the eye doctor||Alex takes Jesse to a doctor||Alex preaches the  to the poor||Alex joins the football team
Tracy cross the Rubicon and go across to see everything else .,Tracy>>cross>>the>>Rubicon>>and>>go>>across>>to>>see>>everything>>else>>.,Alex goes across the street||Alex sees everything||Alex goes somewhere else||Alex crosses the rubicon
Alex catch Jesse 's eye when Alex wear a new dress for the party .,Alex>>catch>>Jesse>>'s>>eye>>when>>Alex>>wear>>a>>new>>dress>>for>>the>>party>>.,Alex catches the eye||Alex wears Alex's new dress||Alex wears the dress||Alex wears Alex's new dress||Alex buys a new dress||Alex needs a new dress||Alex wears a dress||Alex wears with Alex's prom dress
Alex go to the park for a walk and meet a stranger there .,Alex>>go>>to>>the>>park>>for>>a>>walk>>and>>meet>>a>>stranger>>there>>.,Alex goes for a walk in the park||Alex walks in the park||Alex walks in the park ||Alex is walking in the park||Alex meets  at the park||Alex meets at the park||Alex is walking to the park
Casey tell their problem to the mail person that deliver to their home .,Casey>>tell>>their>>problem>>to>>the>>mail>>person>>that>>deliver>>to>>their>>home>>.,Alex tells Jesse the problem||Alex tells the person||Alex delivers mail
"even though they be quite embarrassed to miss a problem in front of the entire class , Quinn stand correct after their mistake .","even>>though>>they>>be>>quite>>embarrassed>>to>>miss>>a>>problem>>in>>front>>of>>the>>entire>>class>>,>>Quinn>>stand>>correct>>after>>their>>mistake>>.",Alex stands in front of Jesse||Alex is really embarrassed||Alex misses class||Alex feels embarrassed||Alex stands directly in front||Alex stands corrected||Alex feels very embarrassed||Alex misses the  entirely
Carson smoke their pipe but only outside in the yard .,Carson>>smoke>>their>>pipe>>but>>only>>outside>>in>>the>>yard>>.,Alex smokes Alex's pipe||Alex fixes the pipe||Alex is only a week away
Kendall have two kid and do not want to take care of them so they drop the kid off at a fire station .,Kendall>>have>>two>>kid>>and>>do>>not>>want>>to>>take>>care>>of>>them>>so>>they>>drop>>the>>kid>>off>>at>>a>>fire>>station>>.,Alex takes Alex's two kids||Alex has two kids||Alex takes Jesse's two kids||Alex has two kids||Alex takes the kids||Alex drops  off at home||Alex wants kids||Alex does n't even care||Alex lets them have it||Alex drops Jesse off at home||Alex is taken care of||Alex does n't want to go||Alex does n't really care||Alex has two cats||Alex takes care of Jesse||Alex lets them have it||Alex does n't want to fight||Alex drops off the radar||Alex is taking care of Jesse||Alex does n't want to leave||Alex takes Alex's two kids||Alex takes Jesse's two kids||Alex takes Alex's two kids||Alex has two children||Alex takes care of it
after much discussion it be decide that Tracy have do the most research . Quinn hold a meeting use Tracy 's form .,after>>much>>discussion>>it>>be>>decide>>that>>Tracy>>have>>do>>the>>most>>research>>.>>Quinn>>hold>>a>>meeting>>use>>Tracy>>'s>>form>>.,Alex holds  with Jesse's forms||Alex conducts research||Alex does n't have much money||Alex holds Alex's meetings||Alex does not have much money||Alex has the most unruly curly hair||Alex holds  with Alex's forms||Alex researches  online||Alex researches  on the internet||Alex uses Jesse form||Alex feels much better after||Alex holds Jesse's meetings||Alex does a lot of research
Skylar take a gander at the dog as he be look at them in the store .,Skylar>>take>>a>>gander>>at>>the>>dog>>as>>he>>be>>look>>at>>them>>in>>the>>store>>.,Alex takes a gander||Alex takes it to the store||Alex looks for a dog to kick||Alex lets them have it||Alex takes  to the store
Alex give their friend a hug in front of all the other .,Alex>>give>>their>>friend>>a>>hug>>in>>front>>of>>all>>the>>other>>.,Alex gives  a big hug||Alex gives  to others||Alex gives Jesse a hug||Alex gives  a hug||Alex puts Alex foot in front of the other
Tracy go out with their friend and Tracy decide to pay for their entire bill for everyone .,Tracy>>go>>out>>with>>their>>friend>>and>>Tracy>>decide>>to>>pay>>for>>their>>entire>>bill>>for>>everyone>>.,Alex is going out with friends||Alex pays the bills||Alex pays Jesse bills||Alex goes out with Jesse's friends||Alex pays Jesse bill||Alex pays bills||Alex pays the bill
Jan decide to quit their job to get a well job as a banker .,Jan>>decide>>to>>quit>>their>>job>>to>>get>>a>>well>>job>>as>>a>>banker>>.,Alex quits my job||Alex finds a better job||Alex quits Jesse's job||Alex gets a job||Alex quits that job||Alex gets a better job||Alex decides to quit Alex's job||Alex gets better and better||Alex gets a better job||Alex decides to get a job||Alex does a better job||Alex quits the job
Jan waste all their money when she go gamble .,Jan>>waste>>all>>their>>money>>when>>she>>go>>gamble>>.,Alex takes a gamble||Alex wastes money||Alex wastes all Alex's money||Alex is a waste of money||Alex has a gambling problem||Alex wastes Alex's money
"Alex be feel generous after get a big bonus at work , so Alex take the family out to dinner .","Alex>>be>>feel>>generous>>after>>get>>a>>big>>bonus>>at>>work>>,>>so>>Alex>>take>>the>>family>>out>>to>>dinner>>.",Alex takes Alex's girlfriend out to dinner||Alex takes Jesse out to dinner||Alex takes  out for dinner||Alex gives  a bonus||Alex gets bigger||Alex takes Jesse out for dinner||Alex gives Jesse a bonus||Alex takes  out to dinner||Alex buys  after work||Alex goes  after work||Alex works after school
Remy be catch between two group of protester that want to fight . Remy prevent the people from engage .,Remy>>be>>catch>>between>>two>>group>>of>>protester>>that>>want>>to>>fight>>.>>Remy>>prevent>>the>>people>>from>>engage>>.,Alex wants to fight Jesse||Alex does n't want to fight||Alex prevents  from coming||Alex catches two fish||Alex prevents  from accessing||Alex prevents  from engaging||Alex falls between two stools||Alex wants to fight||Alex prevents  from arising||Alex prevents  from acquiring
"look to get away from the crowd , Alex run quickly .","look>>to>>get>>away>>from>>the>>crowd>>,>>Alex>>run>>quickly>>.",Alex crowds in on ||Alex looks away||Alex runs quickly||Alex looks away from Jesse||Alex works the crowd||Alex gets away from Jesse||Alex runs away from home||Alex quickly ran||Alex crowds around||Alex runs away from Jesse
Quinn just get a promotion .   they move into a new and large house .,Quinn>>just>>get>>a>>promotion>>.>>they>>move>>into>>a>>new>>and>>large>>house>>.,Alex moves into a new house||Alex is moving into a new house||Alex gets the promotion||Alex gets a promotion||Alex moves to a new house||Alex has just moved into a new house||Alex moves house||Alex just got home||Alex gets a promotion at work||Alex gets promoted
